V_in,V_c,V_th,x_1,x_2,t
511.500,515.000,511.500,1023.000,0.000,0.000
530.171,515.000,511.500,1023.000,0.000,0.005
552.437,516.000,512.587,1023.000,0.000,0.011
570.759,515.000,514.531,1023.000,0.000,0.016
588.763,516.000,517.273,1023.000,0.000,0.021
606.357,519.000,520.760,1023.000,0.000,0.026
626.791,525.000,525.744,1023.000,0.000,0.032
643.150,531.000,530.673,1023.000,0.000,0.037
658.806,536.000,536.158,1023.000,0.000,0.042
673.677,540.000,542.140,1023.000,0.000,0.047
690.372,544.000,549.800,1023.000,0.000,0.053
703.239,551.000,556.656,1023.000,0.000,0.058
717.324,559.000,565.192,1023.000,0.000,0.064
727.858,566.000,572.612,1023.000,0.000,0.069
737.236,574.000,580.183,1023.000,0.000,0.074
745.410,580.000,587.843,1023.000,0.000,0.079
752.336,585.000,595.527,1023.000,0.000,0.084
758.947,594.000,604.659,1023.000,0.000,0.090
763.657,602.000,613.644,1023.000,0.000,0.096
766.103,609.000,620.960,1023.000,0.000,0.101
767.190,616.000,628.039,1023.000,0.000,0.106
766.912,621.000,634.825,1023.000,0.000,0.111
765.272,625.000,641.267,1023.000,0.000,0.116
761.516,633.000,648.489,1023.000,0.000,0.122
756.918,639.000,654.001,1023.000,0.000,0.127
751.009,644.000,659.021,1023.000,0.000,0.132
742.235,649.000,664.378,1023.000,0.000,0.138
733.824,650.000,668.175,1022.000,0.000,0.143
721.602,654.000,671.998,1023.000,0.000,0.149
710.395,657.000,674.417,1023.000,0.000,0.154
698.127,660.000,676.172,1023.000,0.000,0.159
684.863,662.000,677.243,1023.000,0.000,0.164
670.673,660.000,677.614,1023.000,0.000,0.169
655.634,658.000,677.276,1023.000,0.000,0.174
633.305,661.000,675.813,1023.000,0.000,0.181
616.563,660.000,673.740,1023.000,0.000,0.186
599.259,659.000,670.951,1023.000,0.000,0.191
581.488,654.000,667.455,1023.000,0.000,0.196
563.342,649.000,663.262,1023.000,0.000,0.201
541.211,645.000,657.443,1023.000,0.000,0.207
